Benchmark,CPI,DF
531.deepsjeng_r,0.56,15.600000000000001
525.x264_r,0.46,16.14
548.exchange2_r,0.35,0.02
505.mcf_r,1.69,105.19
541.leela_r,0.89,3.15
523.xalancbmk_r,1.0,34.86
520.omnetpp_r,2.02,55.480000000000004
502.gcc_r,0.77,30.53
500.perlbench_r,0.44,14.65
557.xz_r,1.41,40.34
