Benchmark,CPI,DF
623.xalancbmk_s,0.82,0.61
631.deepsjeng_s,0.56,1.15
648.exchange2_s,0.35,0.01
625.x264_s,0.45,0.78
620.omnetpp_s,1.61,2.86
602.gcc_s,0.65,4.94
600.perlbench_s,0.39,0.22
657.xz_s,0.79,7.290000000000001
605.mcf_s,1.3,5.72
641.leela_s,0.88,0.01
