Benchmark,Cycles [Billions],Instr. [Billions],Branches [Billions],Loads [Billions],Stores [Billions],IPC
654.roms_s,4853.704058906,2697.485361639,391.199628111,1173.936133045,269.2348015,0.56
607.cactuBSSN_s,2831.069004171,2848.63372106,227.891658673,1365.245059989,348.026217036,1.01
619.lbm_s,4396.973357615,1525.942775537,176.270984501,608.981624596,264.939462616,0.35
638.imagick_s,2404.019208412,6974.944060638,423.743102324,795.767062352,54.7321694,2.9
649.fotonik3d_s,3090.730849015,1205.998072548,168.888632414,479.070749154,108.699947211,0.39
628.pop2_s,9168.350984912,6983.539876701,1714.758378617,2606.740282811,663.780901439,0.76
644.nab_s,2796.731078017,4775.304745139,681.063700708,2010.408151025,384.589731163,1.71
603.bwaves_s,2329.67291053,1775.473816629,164.97272504,872.579800162,99.335990029,0.76
621.wrf_s,6680.118916958,4822.318056831,948.345452425,2157.367143769,498.04833649,0.72
