Benchmark,Pipeline Utilization
654.roms_s,6.95
607.cactuBSSN_s,12.58
619.lbm_s,4.34
638.imagick_s,36.27
649.fotonik3d_s,4.88
628.pop2_s,9.52
644.nab_s,21.34
603.bwaves_s,9.53
621.wrf_s,9.02
