Benchmark,L2 Access Per 1K Instr.,L2 Miss Per 1K Instr.,L2 Miss Rate (%),L2 Hit Rate (%),L3 Access Per 1K Instr.,L3 Miss Per 1K Instr.,L3 Miss Rate (%),L3 Hit Rate (%)
654.roms_s,96.51250000000003,40.25958333333333,41.71,58.29,48.220404582646836,17.086496201408572,35.434999999999995,64.565
607.cactuBSSN_s,160.65166666666664,8.42479166666667,5.24,94.76,8.472649631844908,5.952462673119796,70.288125,29.711875
619.lbm_s,113.839375,36.077916666666674,31.69,68.31,36.258112735931,32.842407015140935,90.57625,9.423749999999998
638.imagick_s,29.79729166666667,0.6791666666666666,2.28,97.72,0.7431036727950331,0.38853238942709406,51.558749999999996,48.44124999999999
649.fotonik3d_s,68.54312500000002,26.182916666666674,38.2,61.8,36.13869246898431,33.39070011274603,92.404375,7.595625
628.pop2_s,33.061875,10.158958333333333,30.73,69.27,11.319924369980749,2.8360350642625787,24.9175,75.08250000000001
644.nab_s,12.308958333333337,1.3929166666666666,11.32,88.68,1.430569600181852,0.6176567983441119,43.335625,56.664374999999986
603.bwaves_s,49.53187499999999,21.07666666666667,42.55,57.45,22.637877110073234,21.310896095240103,94.12749999999998,5.8725000000000005
621.wrf_s,30.319374999999997,10.843541666666667,35.76,64.24,12.687826376431032,4.452380241818722,35.636875,64.363125
