Benchmark,CPI,DF
654.roms_s,1.8,115.85000000000001
607.cactuBSSN_s,0.99,78.72
619.lbm_s,2.88,173.58999999999997
638.imagick_s,0.34,15.99
649.fotonik3d_s,2.56,144.18
628.pop2_s,1.31,33.43
644.nab_s,0.59,10.59
603.bwaves_s,1.31,186.54000000000002
621.wrf_s,1.39,29.619999999999997
