Benchmark,Pipeline Utilization
527.cam4_r,25.48
519.lbm_r,7.87
510.parest_r,19.17
521.wrf_r,21.08
526.blender_r,23.92
508.namd_r,30.39
549.fotonik3d_r,5.25
511.povray_r,29.83
544.nab_r,23.19
503.bwaves_r,4.67
507.cactuBSSN_r,9.68
538.imagick_r,30.48
554.roms_r,7.94
